,0
204,131.66666666666666
754,131.66666666666666
300,131.66666666666666
598,131.66666666666666
287,131.66666666666666
257,131.66666666666669
324,131.66666666666669
339,131.66666666666669
795,131.66666666666669
197,131.66666666666669
311,131.6666666666667
519,131.6666666666667
814,131.66666666666677
390,131.99999999999997
303,131.99999999999997
314,132.0
682,132.0
933,132.0
81,132.0
506,132.0
724,132.0
263,132.00000000000003
697,132.00000000000003
132,132.00000000000003
755,132.00000000000003
546,132.00000000000009
842,132.33333333333331
863,132.33333333333331
99,132.33333333333331
474,132.33333333333331
671,132.33333333333331
384,132.33333333333331
422,132.33333333333331
728,132.33333333333331
275,132.33333333333331
849,132.33333333333334
783,132.33333333333334
829,132.33333333333334
797,132.33333333333334
854,132.33333333333334
965,132.33333333333337
408,132.66666666666663
374,132.66666666666663
361,132.66666666666663
547,132.66666666666663
528,132.66666666666663
83,132.66666666666666
411,132.66666666666666
837,132.66666666666666
643,132.66666666666666
141,132.66666666666666
580,132.66666666666666
635,132.66666666666666
734,132.66666666666666
714,132.66666666666666
548,132.66666666666666
622,132.66666666666669
274,132.66666666666669
306,132.66666666666669
131,132.66666666666669
902,132.66666666666669
574,132.99999999999994
733,132.99999999999997
7,133.0
826,133.0
318,133.0
48,133.0
651,133.0
479,133.0
637,133.00000000000003
926,133.00000000000003
496,133.00000000000003
383,133.00000000000003
211,133.00000000000003
149,133.00000000000006
47,133.00000000000006
6,133.3333333333333
316,133.33333333333331
498,133.33333333333331
331,133.33333333333331
927,133.33333333333331
38,133.33333333333334
66,133.33333333333334
962,133.33333333333334
655,133.33333333333334
883,133.33333333333334
346,133.33333333333334
801,133.33333333333334
231,133.33333333333334
878,133.33333333333334
501,133.33333333333337
233,133.33333333333337
259,133.33333333333337
599,133.3333333333334
642,133.66666666666663
698,133.66666666666666
452,133.66666666666666
30,133.66666666666666
542,133.66666666666666
255,133.66666666666666
739,133.66666666666666
285,133.66666666666666
435,133.66666666666666
750,133.66666666666669
581,133.66666666666669
720,133.66666666666669
308,133.66666666666669
976,133.66666666666669
968,133.66666666666669
84,133.66666666666669
713,133.66666666666669
34,133.6666666666667
689,133.99999999999994
941,133.99999999999997
41,133.99999999999997
516,133.99999999999997
483,133.99999999999997
394,133.99999999999997
352,133.99999999999997
952,133.99999999999997
283,134.0
538,134.0
167,134.0
678,134.0
704,134.0
94,134.0
49,134.0
943,134.0
762,134.00000000000003
756,134.00000000000003
90,134.00000000000006
679,134.33333333333326
875,134.3333333333333
549,134.3333333333333
467,134.3333333333333
21,134.33333333333331
791,134.33333333333331
238,134.33333333333331
884,134.33333333333331
618,134.33333333333334
545,134.33333333333334
718,134.33333333333334
492,134.33333333333334
70,134.33333333333334
456,134.33333333333337
460,134.66666666666663
203,134.66666666666663
382,134.66666666666663
272,134.66666666666663
240,134.66666666666663
960,134.66666666666666
582,134.66666666666666
802,134.66666666666666
370,134.66666666666666
436,134.66666666666666
900,134.66666666666666
125,134.66666666666666
812,134.66666666666666
973,134.66666666666669
112,134.66666666666669
613,134.66666666666669
85,134.66666666666669
140,134.99999999999994
503,134.99999999999994
719,134.99999999999997
665,134.99999999999997
789,134.99999999999997
